Número de Ordem;Índice de Frequência;Quantidade de CNPJs Completos;CNAE;Vigencia
3.002,15;9,9834;1;80.11-1/01;2025
3.005,19;9,9875;1;80.11-1/01;2025
3.008,23;9,9957;1;80.11-1/01;2025
3.011,27;10,0293;1;80.11-1/01;2025
3.014,31;10,1068;1;80.11-1/01;2025
3.017,35;10,1925;1;80.11-1/01;2025
3.020,39;10,2291;1;80.11-1/01;2025
3.023,43;10,3082;1;80.11-1/01;2025
3.026,48;10,3226;1;80.11-1/01;2025
3.029,52;10,3448;1;80.11-1/01;2025
3.032,56;10,3493;1;80.11-1/01;2025
3.035,60;10,3538;1;80.11-1/01;2025
3.038,64;10,4484;1;80.11-1/01;2025
3.041,68;10,5217;1;80.11-1/01;2025
3.044,72;10,5425;1;80.11-1/01;2025
3.047,76;10,643;1;80.11-1/01;2025
3.050,80;10,7239;1;80.11-1/01;2025
3.053,84;10,7995;1;80.11-1/01;2025
3.056,89;10,8059;1;80.11-1/01;2025
3.059,93;10,8108;2;80.11-1/01;2025
3.066,01;10,8401;1;80.11-1/01;2025
3.069,05;10,8499;1;80.11-1/01;2025
3.072,09;10,8532;1;80.11-1/01;2025
3.075,13;10,8696;1;80.11-1/01;2025
3.078,17;10,8942;1;80.11-1/01;2025
3.081,21;10,9349;1;80.11-1/01;2025
3.084,25;10,9389;1;80.11-1/01;2025
3.087,30;11,0795;1;80.11-1/01;2025
3.090,34;11,106;1;80.11-1/01;2025
3.093,38;11,2003;1;80.11-1/01;2025
3.096,42;11,2029;1;80.11-1/01;2025
3.099,46;11,2219;1;80.11-1/01;2025
3.102,50;11,3933;1;80.11-1/01;2025
3.105,54;11,4014;1;80.11-1/01;2025
3.108,58;11,5718;1;80.11-1/01;2025
3.111,62;11,611;1;80.11-1/01;2025
3.114,66;11,6505;1;80.11-1/01;2025
3.117,70;11,7212;1;80.11-1/01;2025
3.120,75;11,8343;1;80.11-1/01;2025
3.123,79;11,8519;1;80.11-1/01;2025
3.126,83;11,8989;1;80.11-1/01;2025
3.129,87;12,024;1;80.11-1/01;2025
3.132,91;12,0836;1;80.11-1/01;2025
