Número de Ordem;Índice de Gravidade;Quantidade de CNPJs Completos;CNAE;Vigencia
2.777,11;0,8451;1;80.11-1/01;2025
2.780,16;0,8466;1;80.11-1/01;2025
2.783,20;0,8471;1;80.11-1/01;2025
2.786,24;0,8498;1;80.11-1/01;2025
2.789,28;0,8505;1;80.11-1/01;2025
2.792,32;0,8562;1;80.11-1/01;2025
2.795,36;0,8624;1;80.11-1/01;2025
2.798,40;0,8689;1;80.11-1/01;2025
2.801,44;0,8734;1;80.11-1/01;2025
2.804,48;0,8756;1;80.11-1/01;2025
2.807,52;0,8759;1;80.11-1/01;2025
2.810,57;0,8767;1;80.11-1/01;2025
2.813,61;0,8769;1;80.11-1/01;2025
2.816,65;0,885;1;80.11-1/01;2025
2.819,69;0,8882;1;80.11-1/01;2025
2.822,73;0,8899;1;80.11-1/01;2025
2.825,77;0,8932;1;80.11-1/01;2025
2.828,81;0,9012;1;80.11-1/01;2025
2.831,85;0,9016;1;80.11-1/01;2025
2.834,89;0,9019;1;80.11-1/01;2025
2.837,93;0,905;1;80.11-1/01;2025
2.840,98;0,9139;1;80.11-1/01;2025
2.844,02;0,9171;1;80.11-1/01;2025
2.847,06;0,9183;1;80.11-1/01;2025
2.850,10;0,9192;1;80.11-1/01;2025
2.853,14;0,9238;1;80.11-1/01;2025
2.856,18;0,9249;1;80.11-1/01;2025
2.859,22;0,9252;1;80.11-1/01;2025
2.862,26;0,9282;1;80.11-1/01;2025
2.865,30;0,933;1;80.11-1/01;2025
2.868,34;0,9342;1;80.11-1/01;2025
2.871,39;0,9355;1;80.11-1/01;2025
2.874,43;0,9379;1;80.11-1/01;2025
2.877,47;0,943;1;80.11-1/01;2025
2.880,51;0,9445;1;80.11-1/01;2025
2.883,55;0,9456;1;80.11-1/01;2025
2.886,59;0,952;1;80.11-1/01;2025
2.889,63;0,9539;1;80.11-1/01;2025
2.892,67;0,955;1;80.11-1/01;2025
2.895,71;0,9579;1;80.11-1/01;2025
2.898,75;0,9581;1;80.11-1/01;2025
2.901,80;0,9598;1;80.11-1/01;2025
2.904,84;0,9604;1;80.11-1/01;2025
2.907,88;0,9617;1;80.11-1/01;2025
2.910,92;0,9666;1;80.11-1/01;2025
2.913,96;0,9677;1;80.11-1/01;2025
2.917,00;0,9686;1;80.11-1/01;2025
2.920,04;0,9736;1;80.11-1/01;2025
2.923,08;0,974;1;80.11-1/01;2025
2.926,12;0,9784;1;80.11-1/01;2025
2.929,16;0,9804;1;80.11-1/01;2025
2.932,20;0,9832;1;80.11-1/01;2025
2.935,25;0,9837;1;80.11-1/01;2025
2.938,29;0,9881;1;80.11-1/01;2025
2.941,33;0,9893;1;80.11-1/01;2025
2.944,37;0,9895;1;80.11-1/01;2025
2.947,41;0,9969;1;80.11-1/01;2025
2.950,45;0,9983;1;80.11-1/01;2025
2.953,49;0,9988;1;80.11-1/01;2025
2.956,53;1,0007;1;80.11-1/01;2025
2.959,57;1,0029;1;80.11-1/01;2025
2.962,61;1,0107;1;80.11-1/01;2025
2.965,66;1,0193;1;80.11-1/01;2025
2.968,70;1,0229;1;80.11-1/01;2025
2.971,74;1,0323;1;80.11-1/01;2025
2.974,78;1,0345;1;80.11-1/01;2025
2.977,82;1,0349;1;80.11-1/01;2025
2.980,86;1,0354;1;80.11-1/01;2025
2.983,90;1,0448;1;80.11-1/01;2025
2.986,94;1,0522;1;80.11-1/01;2025
2.989,98;1,0528;1;80.11-1/01;2025
2.993,02;1,0542;1;80.11-1/01;2025
2.996,07;1,0643;1;80.11-1/01;2025
2.999,11;1,0724;1;80.11-1/01;2025
3.002,15;1,0799;1;80.11-1/01;2025
3.005,19;1,0811;2;80.11-1/01;2025
3.011,27;1,084;1;80.11-1/01;2025
3.014,31;1,085;1;80.11-1/01;2025
3.017,35;1,0853;1;80.11-1/01;2025
3.020,39;1,087;1;80.11-1/01;2025
3.023,43;1,0894;1;80.11-1/01;2025
3.026,48;1,0935;1;80.11-1/01;2025
3.029,52;1,0939;1;80.11-1/01;2025
3.032,56;1,096;1;80.11-1/01;2025
3.035,60;1,1079;1;80.11-1/01;2025
3.038,64;1,1106;1;80.11-1/01;2025
3.041,68;1,12;1;80.11-1/01;2025
3.044,72;1,1203;1;80.11-1/01;2025
3.047,76;1,1222;1;80.11-1/01;2025
3.050,80;1,1244;1;80.11-1/01;2025
3.053,84;1,1294;1;80.11-1/01;2025
3.056,89;1,1374;1;80.11-1/01;2025
3.059,93;1,1393;1;80.11-1/01;2025
3.062,97;1,1572;1;80.11-1/01;2025
3.066,01;1,1721;1;80.11-1/01;2025
3.069,05;1,1852;1;80.11-1/01;2025
3.072,09;1,1899;1;80.11-1/01;2025
3.075,13;1,2024;1;80.11-1/01;2025
3.078,17;1,2084;1;80.11-1/01;2025
3.081,21;1,21;1;80.11-1/01;2025
3.084,25;1,2102;1;80.11-1/01;2025
3.087,30;1,2144;1;80.11-1/01;2025
3.090,34;1,2232;1;80.11-1/01;2025
3.093,38;1,2541;1;80.11-1/01;2025
3.096,42;1,2552;1;80.11-1/01;2025
3.099,46;1,2559;1;80.11-1/01;2025
3.102,50;1,2612;1;80.11-1/01;2025
3.105,54;1,2712;1;80.11-1/01;2025
3.108,58;1,288;1;80.11-1/01;2025
3.111,62;1,292;1;80.11-1/01;2025
3.114,66;1,2994;1;80.11-1/01;2025
3.117,70;1,33;1;80.11-1/01;2025
3.120,75;1,3321;1;80.11-1/01;2025
3.123,79;1,34;1;80.11-1/01;2025
3.126,83;1,3491;1;80.11-1/01;2025
3.129,87;1,3524;1;80.11-1/01;2025
3.132,91;1,3531;1;80.11-1/01;2025
3.135,95;1,3567;1;80.11-1/01;2025
3.138,99;1,3582;1;80.11-1/01;2025
3.142,03;1,3585;1;80.11-1/01;2025
3.145,07;1,359;1;80.11-1/01;2025
3.148,11;1,3691;1;80.11-1/01;2025
3.151,16;1,373;1;80.11-1/01;2025
3.154,20;1,3754;1;80.11-1/01;2025
3.157,24;1,3873;2;80.11-1/01;2025
3.163,32;1,4106;1;80.11-1/01;2025
3.166,36;1,4143;1;80.11-1/01;2025
3.169,40;1,4266;1;80.11-1/01;2025
3.172,44;1,4311;1;80.11-1/01;2025
3.175,48;1,4458;1;80.11-1/01;2025
3.178,52;1,4493;1;80.11-1/01;2025
3.181,57;1,4545;1;80.11-1/01;2025
3.184,61;1,4806;1;80.11-1/01;2025
3.187,65;1,4925;1;80.11-1/01;2025
3.190,69;1,5056;3;80.11-1/01;2025
3.199,81;1,5152;1;80.11-1/01;2025
3.202,85;1,519;1;80.11-1/01;2025
3.205,89;1,5248;1;80.11-1/01;2025
3.208,93;1,5296;1;80.11-1/01;2025
3.211,98;1,5494;1;80.11-1/01;2025
3.215,02;1,5506;1;80.11-1/01;2025
3.218,06;1,5584;1;80.11-1/01;2025
3.221,10;1,5641;1;80.11-1/01;2025
3.224,14;1,5645;1;80.11-1/01;2025
3.227,18;1,5819;1;80.11-1/01;2025
3.230,22;1,5831;1;80.11-1/01;2025
3.233,26;1,5915;1;80.11-1/01;2025
3.236,30;1,5998;1;80.11-1/01;2025
3.239,34;1,6032;1;80.11-1/01;2025
3.242,39;1,6133;1;80.11-1/01;2025
3.245,43;1,6205;1;80.11-1/01;2025
3.248,47;1,6244;1;80.11-1/01;2025
3.251,51;1,625;1;80.11-1/01;2025
3.254,55;1,6293;1;80.11-1/01;2025
3.257,59;1,6371;1;80.11-1/01;2025
3.260,63;1,6382;1;80.11-1/01;2025
3.263,67;1,6399;1;80.11-1/01;2025
3.266,71;1,6421;1;80.11-1/01;2025
3.269,75;1,645;1;80.11-1/01;2025
3.272,80;1,6771;1;80.11-1/01;2025
3.275,84;1,6866;1;80.11-1/01;2025
3.278,88;1,6901;1;80.11-1/01;2025
3.281,92;1,6907;1;80.11-1/01;2025
3.284,96;1,6971;1;80.11-1/01;2025
3.288,00;1,7009;1;80.11-1/01;2025
3.291,04;1,7094;1;80.11-1/01;2025
3.294,08;1,7106;1;80.11-1/01;2025
3.297,12;1,7279;1;80.11-1/01;2025
3.300,16;1,7391;1;80.11-1/01;2025
3.303,20;1,7501;1;80.11-1/01;2025
3.306,25;1,7505;1;80.11-1/01;2025
3.309,29;1,7557;1;80.11-1/01;2025
3.312,33;1,7647;1;80.11-1/01;2025
3.315,37;1,7686;1;80.11-1/01;2025
3.318,41;1,7778;1;80.11-1/01;2025
3.321,45;1,7984;1;80.11-1/01;2025
3.324,49;1,8059;2;80.11-1/01;2025
3.330,57;1,8223;1;80.11-1/01;2025
3.333,61;1,8476;1;80.11-1/01;2025
3.336,66;1,8504;1;80.11-1/01;2025
3.339,70;1,8957;1;80.11-1/01;2025
3.342,74;1,9002;1;80.11-1/01;2025
3.345,78;1,9093;1;80.11-1/01;2025
3.348,82;1,9161;1;80.11-1/01;2025
3.351,86;1,9246;1;80.11-1/01;2025
